"Date","Event","Data"
9/30/2024 8:00:00 AM,LogDailyImpedanceMeas,LeadImpedance = [4984 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
10/1/2024 12:00:00 AM,LogDailyBattMeas,2.85 V
10/1/2024 12:00:00 AM,LogDailyTherapyTime,0 sec
10/1/2024 12:00:00 AM,LogTotalIpgTherapyTime,0 sec
10/1/2024 12:00:00 AM,LogDailyTimeInEachPosition,Active = [0 sec] - Standing = [0 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [86400 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
10/1/2024 8:00:00 AM,LogDailyImpedanceMeas,LeadImpedance = [5398 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
10/1/2024 10:39:35 AM,LogStartMarkerSession
10/1/2024 10:39:49 AM,LogPositionChange,Posture = [Active]
10/1/2024 10:39:57 AM,LogPositionChange,Posture = [Prone]
10/1/2024 10:41:46 AM,LogPositionChange,Posture = [Active]
10/1/2024 10:41:58 AM,LogPositionChange,Posture = [Reclined]
10/1/2024 10:42:07 AM,LogPositionChange,Posture = [Active]
10/1/2024 10:42:20 AM,LogPositionChange,Posture = [Supine]
10/1/2024 10:43:19 AM,LogStopMarkerSession
10/1/2024 11:05:49 AM,LogPositionChange,Posture = [Active]
10/1/2024 11:05:53 AM,LogPositionChange,Posture = [Supine]
10/1/2024 12:48:11 PM,LogStartMarkerSession
10/1/2024 12:48:39 PM,LogPositionChange,Posture = [Active]
10/1/2024 12:48:42 PM,LogPositionChange,Posture = [Supine]
10/1/2024 12:48:47 PM,LogPositionChange,Posture = [Prone]
10/1/2024 12:49:21 PM,LogPositionChange,Posture = [Active]
10/1/2024 12:49:24 PM,LogPositionChange,Posture = [Prone]
10/1/2024 12:49:31 PM,LogPositionChange,Posture = [Active]
10/1/2024 12:49:45 PM,LogPositionChange,Posture = [Prone]
10/1/2024 12:49:50 PM,LogPositionChange,Posture = [Active]
10/1/2024 12:49:53 PM,LogPositionChange,Posture = [Prone]
10/1/2024 12:50:01 PM,LogPositionChange,Posture = [Supine]
10/1/2024 12:50:38 PM,LogPositionChange,Posture = [Active]
10/1/2024 12:50:41 PM,LogPositionChange,Posture = [Standing]
10/1/2024 12:50:49 PM,LogPositionChange,Posture = [Prone]
10/1/2024 12:50:57 PM,LogPositionChange,Posture = [Supine]
10/1/2024 12:51:23 PM,LogReset
10/1/2024 12:51:41 PM,LogProgramming,Device mode = [Ready] - Magnet mode = [Safety M.] - Balance mode = [Active] - TranstImpedPulseTerm = [IMP1-Case] - TherapyPauseMode = [Enabled] - GyroscopeMode = [Enabled] - PhasicTime = [2.0 sec] - TherapyRate = [15] bpm - RiseTime = [0.1] sec - FallTime = [0.1] sec - TonicAmplitude = [0.00 mA] - PhasicAmplitude = [1.00 mA] - OnsetRampTime = [10 min] - EndingRampTime = [0 min] - PulseWidth = [152.5 micro sec] - Frequency = [30 Hz] - InterphasePeriod = [61.0 micro sec] - BurstCycles = [2 cycles] - TherapyLength = [360] min - TherapyDelay = [15 min] - TherapyPause = [8 min] - MaxPhasicAmplitude = [1.40 mA] - MinPhasicAmplitude = [0.90 mA] - AmplitudeStep = [0.05 mA] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off] - IMUSamplingRate = [50 Hz] - TranstImpedSamplingRate = [One stim. pulse] - StepUpVoltage = [Auto]
10/1/2024 12:51:44 PM,LogPositionChange,Posture = [Supine]
10/1/2024 12:52:04 PM,LogStartMarkerSession
10/1/2024 12:52:15 PM,LogPositionChange,Posture = [Active]
10/1/2024 12:52:23 PM,LogPositionChange,Posture = [Supine]
10/1/2024 12:52:33 PM,LogPositionChange,Posture = [Prone]
10/1/2024 12:52:48 PM,LogStopMarkerSession
10/1/2024 1:51:29 PM,LogPositionChange,Posture = [Supine]
10/1/2024 3:45:25 PM,LogPositionChange,Posture = [Prone]
10/2/2024 12:00:00 AM,LogDailyBattMeas,2.85 V
10/2/2024 12:00:00 AM,LogDailyTherapyTime,0 sec
10/2/2024 12:00:00 AM,LogTotalIpgTherapyTime,0 sec
10/2/2024 12:00:00 AM,LogDailyTimeInEachPosition,Active = [8 sec] - Standing = [0 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [6877 sec] - Prone = [33211 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
10/2/2024 8:00:00 AM,LogDailyImpedanceMeas,LeadImpedance = [5091 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
10/2/2024 9:57:32 AM,LogPositionChange,Posture = [Active]
10/2/2024 9:57:40 AM,LogPositionChange,Posture = [Supine]
10/2/2024 9:58:01 AM,LogPositionChange,Posture = [Active]
10/2/2024 9:58:29 AM,LogPositionChange,Posture = [Supine]
10/2/2024 10:03:55 AM,LogNewRTCID,RTCid = [23] - Time = [02/10/2024 10:03:55]
10/2/2024 10:03:33 AM,LogSetTime
10/2/2024 10:03:33 AM,LogDailyBattMeas,2.84 V
10/2/2024 10:03:33 AM,LogDailyTherapyTime,0 sec
10/2/2024 10:03:33 AM,LogTotalIpgTherapyTime,0 sec
10/2/2024 10:03:33 AM,LogDailyTimeInEachPosition,Active = [36 sec] - Standing = [0 sec] - Reclined = [0 sec] - Lying = [0 sec] - Supine = [347 sec] - Prone = [35852 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]
10/2/2024 10:03:33 AM,LogDailyImpedanceMeas,LeadImpedance = [5264 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
10/2/2024 10:04:11 AM,LogPositionChange,Posture = [Active]
10/2/2024 10:04:16 AM,LogPositionChange,Posture = [Supine]
10/2/2024 10:28:52 AM,LogPositionChange,Posture = [Active]
10/2/2024 10:28:56 AM,LogPositionChange,Posture = [Supine]
10/2/2024 10:38:35 AM,LogPositionChange,Posture = [Active]
10/2/2024 10:38:47 AM,LogPositionChange,Posture = [Prone]
10/2/2024 10:44:53 AM,LogPositionChange,Posture = [Active]
10/2/2024 10:45:00 AM,LogPositionChange,Posture = [Supine]
10/2/2024 11:01:23 AM,LogPositionChange,Posture = [Active]
10/2/2024 11:01:26 AM,LogPositionChange,Posture = [Supine]
10/2/2024 1:32:37 PM,LogPositionChange,Posture = [Active]
10/2/2024 1:33:08 PM,LogPositionChange,Posture = [Supine]
10/2/2024 1:37:38 PM,LogPositionChange,Posture = [Active]
10/2/2024 1:38:06 PM,LogPositionChange,Posture = [LeftLateral]
10/2/2024 1:38:10 PM,LogPositionChange,Posture = [Reclined]
10/2/2024 1:38:24 PM,LogPositionChange,Posture = [LeftLateral]
10/2/2024 1:38:29 PM,LogPositionChange,Posture = [Active]
10/2/2024 1:38:38 PM,LogPositionChange,Posture = [LeftLateral]
10/2/2024 1:38:42 PM,LogPositionChange,Posture = [Active]
10/2/2024 1:38:51 PM,LogPositionChange,Posture = [Supine]
10/2/2024 1:49:42 PM,LogPositionChange,Posture = [Active]
10/2/2024 1:49:53 PM,LogPositionChange,Posture = [Standing]
10/2/2024 1:50:02 PM,LogPositionChange,Posture = [Reclined]
10/2/2024 1:50:18 PM,LogPositionChange,Posture = [Supine]
10/2/2024 2:38:32 PM,LogPositionChange,Posture = [Active]
10/2/2024 2:38:39 PM,LogPositionChange,Posture = [Supine]
10/2/2024 2:38:42 PM,LogPositionChange,Posture = [Active]
10/2/2024 2:39:24 PM,LogPositionChange,Posture = [Supine]
10/2/2024 2:39:27 PM,LogPositionChange,Posture = [Active]
10/2/2024 2:39:40 PM,LogPositionChange,Posture = [Supine]
10/2/2024 2:39:43 PM,LogPositionChange,Posture = [Active]
10/2/2024 2:39:55 PM,LogPositionChange,Posture = [Supine]
10/2/2024 2:43:50 PM,LogPositionChange,Posture = [Active]
10/2/2024 2:43:53 PM,LogPositionChange,Posture = [Supine]
10/2/2024 2:48:46 PM,LogPositionChange,Posture = [Active]
10/2/2024 2:48:51 PM,LogPositionChange,Posture = [Supine]
10/2/2024 2:55:03 PM,LogPositionChange,Posture = [Active]
10/2/2024 2:55:15 PM,LogPositionChange,Posture = [Supine]
10/2/2024 3:16:13 PM,LogPositionChange,Posture = [Active]
10/2/2024 3:16:23 PM,LogPositionChange,Posture = [Supine]
10/2/2024 3:22:23 PM,LogPositionChange,Posture = [Active]
10/2/2024 3:22:27 PM,LogPositionChange,Posture = [RightLateral]
10/2/2024 3:22:36 PM,LogPositionChange,Posture = [Active]
10/2/2024 3:22:42 PM,LogPositionChange,Posture = [Supine]
10/2/2024 11:46:46 PM,LogPositionChange,Posture = [Active]
10/2/2024 11:46:52 PM,LogPositionChange,Posture = [Supine]
10/3/2024 12:00:00 AM,LogDailyBattMeas,2.83 V
10/3/2024 12:00:00 AM,LogDailyTherapyTime,0 sec
10/3/2024 12:00:00 AM,LogTotalIpgTherapyTime,0 sec
10/3/2024 12:00:00 AM,LogDailyTimeInEachPosition,Active = [239 sec] - Standing = [9 sec] - Reclined = [30 sec] - Lying = [0 sec] - Supine = [49522 sec] - Prone = [366 sec] - RightLateral = [9 sec] - LeftLateral = [13 sec]
10/3/2024 6:39:50 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:39:55 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:41:19 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:41:32 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:47:15 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:47:29 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:48:53 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:48:56 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:49:18 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:49:24 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:50:13 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:50:16 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:50:31 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:50:53 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:50:58 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:51:04 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:51:10 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:51:16 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:54:29 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:54:36 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:55:07 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:55:10 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:57:20 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:57:31 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:59:09 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:59:12 AM,LogPositionChange,Posture = [Supine]
10/3/2024 6:59:38 AM,LogPositionChange,Posture = [Active]
10/3/2024 6:59:46 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:00:25 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:00:28 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:01:11 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:01:17 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:02:49 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:02:58 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:03:13 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:03:16 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:03:30 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:03:33 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:04:57 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:05:08 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:07:25 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:07:28 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:19:01 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:19:09 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:19:48 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:19:51 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:19:54 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:19:58 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:22:54 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:22:57 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:23:37 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:23:40 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:24:06 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:24:09 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:25:55 AM,LogPositionChange,Posture = [Reclined]
10/3/2024 7:26:02 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:26:24 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:28:02 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:28:55 AM,LogPositionChange,Posture = [Supine]
10/3/2024 7:29:27 AM,LogPositionChange,Posture = [Active]
10/3/2024 7:29:30 AM,LogPositionChange,Posture = [Supine]
10/3/2024 8:00:01 AM,LogDailyImpedanceMeas,LeadImpedance = [4860 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]
10/3/2024 9:10:56 AM,LogPositionChange,Posture = [Prone]
10/3/2024 9:11:01 AM,LogPositionChange,Posture = [Reclined]
10/3/2024 9:11:04 AM,LogPositionChange,Posture = [Prone]
10/3/2024 9:11:12 AM,LogPositionChange,Posture = [Supine]
10/3/2024 9:14:33 AM,LogPositionChange,Posture = [Reclined]
10/3/2024 9:14:39 AM,LogPositionChange,Posture = [Supine]
10/3/2024 9:14:48 AM,LogPositionChange,Posture = [Reclined]
10/3/2024 9:14:54 AM,LogPositionChange,Posture = [Supine]
10/3/2024 9:15:04 AM,LogPositionChange,Posture = [Reclined]
10/3/2024 9:15:17 AM,LogPositionChange,Posture = [Supine]
10/3/2024 9:16:10 AM,LogPositionChange,Posture = [Reclined]
10/3/2024 9:16:21 AM,LogPositionChange,Posture = [Supine]
10/3/2024 9:21:50 AM,LogProgramming,Device mode = [Ready] - Magnet mode = [Safety M.] - Balance mode = [Active] - TranstImpedPulseTerm = [IMP1-Case] - TherapyPauseMode = [Enabled] - GyroscopeMode = [Enabled] - PhasicTime = [2.0 sec] - TherapyRate = [15] bpm - RiseTime = [0.1] sec - FallTime = [0.1] sec - TonicAmplitude = [0.00 mA] - PhasicAmplitude = [1.00 mA] - OnsetRampTime = [10 min] - EndingRampTime = [0 min] - PulseWidth = [152.5 micro sec] - Frequency = [30 Hz] - InterphasePeriod = [61.0 micro sec] - BurstCycles = [2 cycles] - TherapyLength = [360] min - TherapyDelay = [15 min] - TherapyPause = [8 min] - MaxPhasicAmplitude = [1.40 mA] - MinPhasicAmplitude = [0.90 mA] - AmplitudeStep = [0.05 mA] - Terminal[0] = [+] - Terminal[1] = [Off] - Terminal[2] = [-] - Terminal[3] = [Off] - Terminal[4] = [Off] - IMUSamplingRate = [50 Hz] - TranstImpedSamplingRate = [One stim. pulse] - StepUpVoltage = [Auto]
10/3/2024 9:21:54 AM,LogMeasureImpedanceByOrder,LeadImpedance = [922 Ohms] - Terminal[0] = [+] - Terminal[1] = [Off] - Terminal[2] = [-] - Terminal[3] = [Off] - Terminal[4] = [Off]
10/3/2024 9:21:56 AM,LogMeasureImpedanceByOrder,LeadImpedance = [950 Ohms] - Terminal[0] = [+] - Terminal[1] = [Off] - Terminal[2] = [-] - Terminal[3] = [Off] - Terminal[4] = [Off]
10/3/2024 9:22:06 AM,LogPositionChange,Posture = [Reclined]
10/3/2024 9:22:11 AM,LogPositionChange,Posture = [Supine]
10/3/2024 9:22:57 AM,LogPositionChange,Posture = [Reclined]
10/3/2024 9:23:04 AM,LogPositionChange,Posture = [Supine]
10/3/2024 9:23:28 AM,LogPositionChange,Posture = [RightLateral]
10/3/2024 9:23:34 AM,LogPositionChange,Posture = [Supine]
10/3/2024 9:24:13 AM,LogMeasureImpedanceByOrder,LeadImpedance = [1000 Ohms] - Terminal[0] = [+] - Terminal[1] = [Off] - Terminal[2] = [-] - Terminal[3] = [Off] - Terminal[4] = [Off]
